v4_1,Data Marking,mmm-yy,Time,countries,Geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,seasonal-adjustment,SeasonalAdjustment
-0.2,,Jun-11,Jun-11,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
84.3,,Jun-11,Jun-11,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
84.7,,Jul-11,Jul-11,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
0.4,,Jul-11,Jul-11,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
-0.2,,Aug-11,Aug-11,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
84.5,,Aug-11,Aug-11,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
84.7,,Sep-11,Sep-11,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
0.3,,Sep-11,Sep-11,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
0.9,,Oct-11,Oct-11,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
85.5,,Oct-11,Oct-11,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
85.1,,Nov-11,Nov-11,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
-0.4,,Nov-11,Nov-11,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
0.8,,Dec-11,Dec-11,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
85.8,,Dec-11,Dec-11,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
85.4,,Jan-12,Jan-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
-0.4,,Jan-12,Jan-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
-1.0,,Feb-12,Feb-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
84.6,,Feb-12,Feb-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
86.5,,Mar-12,Mar-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
2.2,,Mar-12,Mar-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
84.3,,Apr-12,Apr-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
-2.5,,Apr-12,Apr-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
0.8,,May-12,May-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
85.0,,May-12,May-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
0.3,,Jun-12,Jun-12,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
